iso,date,Storm
BGD,Nov 1983,1
BGD,Mar 1985,1
BGD,May 1985,1
BGD,Oct 1985,1
BGD,Mar 1986,1
BGD,Apr 1986,1
BGD,Sep 1986,1
BGD,Nov 1986,1
BGD,Jun 1987,1
BGD,May 1988,1
BGD,Jun 1988,1
BGD,Oct 1988,1
BGD,Nov 1988,1
BGD,Apr 1989,1
BGD,May 1989,1
BGD,Apr 1990,1
BGD,May 1990,1
BGD,Oct 1990,1
BGD,Dec 1990,1
BGD,Apr 1991,1
BGD,May 1991,1
BGD,Jan 1992,1
BGD,Apr 1992,1
BGD,Jan 1993,1
BGD,Feb 1993,1
BGD,Mar 1993,1
BGD,May 1993,1
BGD,Mar 1994,1
BGD,Apr 1994,1
BGD,May 1994,1
BGD,Apr 1995,1
BGD,May 1995,1
BGD,Nov 1995,1
BGD,Apr 1996,1
BGD,May 1996,1
BGD,Jul 1996,1
BGD,Oct 1996,1
BGD,Mar 1997,1
BGD,May 1997,1
BGD,Aug 1997,1
BGD,Sep 1997,1
BGD,Oct 1997,1
BGD,Mar 1998,1
BGD,Apr 1998,1
BGD,May 1998,1
BGD,Jul 1998,1
BGD,Nov 1998,1
BGD,Mar 1999,1
BGD,Apr 1999,1
BGD,Jul 1999,1
BGD,Oct 1999,1
BGD,Mar 2000,1
BGD,Apr 2000,1
BGD,May 2000,1
BGD,Jun 2000,1
BGD,Oct 2000,1
BGD,Apr 2001,1
BGD,May 2001,1
BGD,Oct 2001,1
BGD,Mar 2002,1
BGD,Apr 2002,1
BGD,Jul 2002,1
BGD,Nov 2002,1
BGD,Apr 2003,1
BGD,May 2003,1
BGD,Dec 2003,1
BGD,Apr 2004,1
BGD,May 2004,1
BGD,Jun 2004,1
BGD,Jul 2004,1
BGD,Mar 2005,1
BGD,May 2005,1
BGD,Jun 2005,1
BGD,Sep 2005,1
BGD,Mar 2006,1
BGD,Apr 2006,1
BGD,Sep 2006,1
BGD,May 2007,1
BGD,Nov 2007,1
