location,time,ppi_tot_int,date
AUT,2015-07,100.5,Jul 2015
AUT,2015-08,99.9,Aug 2015
AUT,2015-09,99.8,Sep 2015
AUT,2015-10,99.3,Oct 2015
AUT,2015-11,99,Nov 2015
AUT,2015-12,98.9,Dec 2015
AUT,2016-01,98.6,Jan 2016
AUT,2016-02,98.1,Feb 2016
AUT,2016-03,98,Mar 2016
AUT,2016-04,98.1,Apr 2016
AUT,2016-05,98.2,May 2016
AUT,2016-06,98.3,Jun 2016
AUT,2016-07,98.4,Jul 2016
AUT,2016-08,98.5,Aug 2016
AUT,2016-09,98.5,Sep 2016
AUT,2016-10,98.6,Oct 2016
AUT,2016-11,99.1,Nov 2016
AUT,2016-12,99.4,Dec 2016
AUT,2017-01,100.2,Jan 2017
AUT,2017-02,100.8,Feb 2017
AUT,2017-03,101.3,Mar 2017
AUT,2017-04,101.9,Apr 2017
AUT,2017-05,101.9,May 2017
AUT,2017-06,101.5,Jun 2017
AUT,2017-07,101.2,Jul 2017
AUT,2017-08,101.3,Aug 2017
AUT,2017-09,101.5,Sep 2017
AUT,2017-10,101.9,Oct 2017
AUT,2017-11,102,Nov 2017
AUT,2017-12,102,Dec 2017
AUT,2018-01,102.7,Jan 2018
AUT,2018-02,103,Feb 2018
AUT,2018-03,103.3,Mar 2018
AUT,2018-04,103.6,Apr 2018
AUT,2018-05,103.9,May 2018
AUT,2018-06,104.2,Jun 2018
AUT,2018-07,104.2,Jul 2018
AUT,2018-08,104.3,Aug 2018
AUT,2018-09,104.3,Sep 2018
AUT,2018-10,104.5,Oct 2018
AUT,2018-11,104.4,Nov 2018
AUT,2018-12,104.3,Dec 2018
AUT,2019-01,104.2,Jan 2019
AUT,2019-02,104.2,Feb 2019
AUT,2019-03,104.3,Mar 2019
AUT,2019-04,104.3,Apr 2019
AUT,2019-05,103.9,May 2019
AUT,2019-06,103.6,Jun 2019
AUT,2019-07,103.6,Jul 2019
AUT,2019-08,103.6,Aug 2019
AUT,2019-09,103.3,Sep 2019
AUT,2019-10,103,Oct 2019
AUT,2019-11,102.8,Nov 2019
AUT,2019-12,102.6,Dec 2019
AUT,2020-01,102.4,Jan 2020
AUT,2020-02,102.5,Feb 2020
AUT,2020-03,101.9,Mar 2020
AUT,2020-04,101.7,Apr 2020
AUT,2020-05,101.5,May 2020
AUT,2020-06,101.4,Jun 2020
AUT,2020-07,101.3,Jul 2020
AUT,2020-08,101.2,Aug 2020
AUT,2020-09,101,Sep 2020
AUT,2020-10,101.4,Oct 2020
AUT,2020-11,101.6,Nov 2020
AUT,2020-12,101.9,Dec 2020
AUT,2021-01,103,Jan 2021
AUT,2021-02,104.1,Feb 2021
AUT,2021-03,105.6,Mar 2021
AUT,2021-04,107.7,Apr 2021
AUT,2021-05,109,May 2021
AUT,2021-06,110.7,Jun 2021
AUT,2021-07,113.7,Jul 2021
AUT,2021-08,115.1,Aug 2021
AUT,2021-09,115.4,Sep 2021
AUT,2021-10,117.2,Oct 2021
AUT,2021-11,118.8,Nov 2021
AUT,2021-12,119.4,Dec 2021
AUT,2022-01,122.4709,Jan 2022
AUT,2022-02,124.0339,Feb 2022
AUT,2022-03,126.0434,Mar 2022
AUT,2022-04,128.9461,Apr 2022
AUT,2022-05,130.3975,May 2022
AUT,2022-06,130.6207,Jun 2022
AUT,2022-07,131.4022,Jul 2022
AUT,2022-08,131.6255,Aug 2022
AUT,2022-09,131.2906,Sep 2022
AUT,2022-10,130.844,Oct 2022
AUT,2022-11,129.8393,Nov 2022
AUT,2022-12,128.9461,Dec 2022
BEL,2001-01,74.6,Jan 2001
BEL,2001-02,74.3,Feb 2001
BEL,2001-03,74,Mar 2001
BEL,2001-04,73.7,Apr 2001
BEL,2001-05,73.8,May 2001
BEL,2001-06,73.7,Jun 2001
BEL,2001-07,73,Jul 2001
BEL,2001-08,72.7,Aug 2001
BEL,2001-09,72.3,Sep 2001
BEL,2001-10,71.8,Oct 2001
BEL,2001-11,71.6,Nov 2001
BEL,2001-12,71.1,Dec 2001
BEL,2002-01,70.6,Jan 2002
BEL,2002-02,70.8,Feb 2002
BEL,2002-03,70.8,Mar 2002
BEL,2002-04,72.3,Apr 2002
BEL,2002-05,72.7,May 2002
BEL,2002-06,73.1,Jun 2002
BEL,2002-07,73.4,Jul 2002
BEL,2002-08,74,Aug 2002
BEL,2002-09,73.7,Sep 2002
BEL,2002-10,73.8,Oct 2002
BEL,2002-11,73.6,Nov 2002
BEL,2002-12,73.6,Dec 2002
BEL,2003-01,71.2,Jan 2003
BEL,2003-02,71.3,Feb 2003
BEL,2003-03,72,Mar 2003
BEL,2003-04,72.3,Apr 2003
BEL,2003-05,71.7,May 2003
BEL,2003-06,71.2,Jun 2003
BEL,2003-07,70.9,Jul 2003
BEL,2003-08,70.4,Aug 2003
BEL,2003-09,70.4,Sep 2003
BEL,2003-10,71,Oct 2003
BEL,2003-11,71.4,Nov 2003
BEL,2003-12,71.7,Dec 2003
BEL,2004-01,72.5,Jan 2004
BEL,2004-02,73.8,Feb 2004
BEL,2004-03,74.8,Mar 2004
BEL,2004-04,75.7,Apr 2004
BEL,2004-05,76.7,May 2004
BEL,2004-06,77.2,Jun 2004
BEL,2004-07,77.9,Jul 2004
BEL,2004-08,78.8,Aug 2004
BEL,2004-09,79.6,Sep 2004
BEL,2004-10,80.7,Oct 2004
BEL,2004-11,80.8,Nov 2004
BEL,2004-12,80.8,Dec 2004
BEL,2005-01,81.3,Jan 2005
BEL,2005-02,81.1,Feb 2005
BEL,2005-03,81.2,Mar 2005
BEL,2005-04,81,Apr 2005
BEL,2005-05,80.3,May 2005
BEL,2005-06,79.9,Jun 2005
BEL,2005-07,79.6,Jul 2005
BEL,2005-08,79.7,Aug 2005
BEL,2005-09,79.5,Sep 2005
BEL,2005-10,80,Oct 2005
BEL,2005-11,79.8,Nov 2005
BEL,2005-12,81,Dec 2005
BEL,2006-01,81.8,Jan 2006
BEL,2006-02,81.8,Feb 2006
BEL,2006-03,82.9,Mar 2006
BEL,2006-04,83.8,Apr 2006
BEL,2006-05,84,May 2006
BEL,2006-06,84.5,Jun 2006
BEL,2006-07,85.6,Jul 2006
BEL,2006-08,85.7,Aug 2006
BEL,2006-09,86.4,Sep 2006
BEL,2006-10,86.5,Oct 2006
BEL,2006-11,86,Nov 2006
BEL,2006-12,85.8,Dec 2006
BEL,2007-01,87.1,Jan 2007
BEL,2007-02,87.1,Feb 2007
BEL,2007-03,88,Mar 2007
BEL,2007-04,88,Apr 2007
BEL,2007-05,88.5,May 2007
BEL,2007-06,88.6,Jun 2007
BEL,2007-07,88.6,Jul 2007
BEL,2007-08,88.7,Aug 2007
BEL,2007-09,88.7,Sep 2007
BEL,2007-10,88.8,Oct 2007
BEL,2007-11,88.5,Nov 2007
BEL,2007-12,88.4,Dec 2007
BEL,2008-01,89,Jan 2008
BEL,2008-02,90.1,Feb 2008
BEL,2008-03,90.5,Mar 2008
BEL,2008-04,91.1,Apr 2008
BEL,2008-05,90.6,May 2008
BEL,2008-06,91.1,Jun 2008
