iso,date,Drought
HUN,Jul 2003,1
IDN,Jan 1966,1
IDN,Apr 1978,1
IDN,Jan 1982,1
IDN,Sep 1997,1
IDN,Aug 2003,1
IDN,Jul 2015,1
IDN,Aug 2023,1
IND,Jul 1964,1
IND,Aug 1964,1
IND,Jun 1982,1
IND,May 1987,1
IND,Mar 1993,1
IND,Mar 1996,1
IND,Apr 2000,1
IND,Jul 2002,1
IND,Jul 2009,1
IND,Jan 2015,1
IND,Sep 2018,1
IRN,Jan 1964,1
IRN,Apr 1999,1
IRQ,Jan 2021,1
ISR,Apr 1999,1
ITA,Apr 1997,1
ITA,May 2002,1
ITA,Jun 2012,1
ITA,Jul 2017,1
ITA,Jun 2022,1
JAM,Jan 1968,1
JAM,Jan 1981,1
JAM,Mar 2000,1
JAM,Jan 2014,1
JOR,Jul 1999,1
JOR,Aug 2000,1
JPN,Apr 1977,1
KAZ,Jun 2021,1
KEN,Jul 1965,1
KEN,Jan 1971,1
KEN,Mar 1994,1
KEN,Jan 1997,1
KEN,Dec 1999,1
KEN,Jul 2004,1
KEN,Dec 2005,1
KEN,Jul 2008,1
KEN,Jan 2011,1
KEN,Jan 2014,1
KEN,Jun 2016,1
KEN,Jan 2019,1
KEN,Dec 2020,1
KHM,Jun 1994,1
KHM,Sep 2001,1
KHM,Jan 2002,1
KHM,Apr 2005,1
KHM,May 2016,1
KIR,Mar 1999,1
KOR,Jun 2001,1
LAO,Dec 1988,1
LAO,Jul 1991,1
LAO,Jan 1999,1
LAO,Jul 2019,1
LBR,Feb 1983,1
LCA,Jan 2010,1
LKA,Jan 1979,1
LKA,Mar 1980,1
LKA,Sep 1982,1
LKA,Aug 1988,1
LKA,Sep 2001,1
LKA,Jan 2012,1
LKA,Jan 2014,1
LKA,Oct 2016,1
LKA,Aug 2019,1
LSO,Jun 1968,1
LSO,Feb 1983,1
LSO,Jun 1992,1
LSO,Apr 2002,1
LSO,Jul 2007,1
LSO,Dec 2011,1
LSO,Feb 2016,1
LSO,Sep 2020,1
LTU,Jun 1992,1
LTU,Aug 2006,1
LTU,May 2018,1
MAR,Jan 1966,1
MAR,Jan 1971,1
MAR,Feb 1983,1
MAR,Feb 1984,1
MAR,Jun 1999,1
MDA,May 2000,1
MDA,Nov 2012,1
MDG,Apr 1988,1
MDG,Jun 2000,1
MDG,Nov 2002,1
MDG,Nov 2005,1
MDG,Nov 2014,1
MDG,Jan 2016,1
MDG,Jan 2017,1
MDG,Jan 2020,1
MEX,May 1988,1
MEX,Jun 1995,1
MEX,May 1996,1
MEX,May 1999,1
MEX,Apr 2002,1
MEX,Sep 2011,1
MHL,May 2013,1
MHL,Jan 2022,1
MKD,Dec 1993,1
MLI,Jan 1966,1
MLI,Jan 1980,1
MLI,Mar 1991,1
MLI,Apr 2001,1
MLI,Aug 2006,1
MLI,Jun 2010,1
MNG,Feb 2000,1
MOZ,Jan 1979,1
MOZ,Sep 1987,1
MOZ,Mar 1991,1
MOZ,Apr 1998,1
MOZ,Jan 2001,1
MOZ,Mar 2002,1
MOZ,Jan 2003,1
MOZ,May 2005,1
MOZ,Aug 2007,1
MOZ,Dec 2008,1
MOZ,Mar 2010,1
MOZ,Jan 2016,1
MOZ,Oct 2020,1
MOZ,Jun 2021,1
MRT,Jan 1965,1
MRT,Jun 1980,1
MRT,Mar 1997,1
MRT,Apr 2001,1
MRT,Apr 2017,1
MRT,Mar 2018,1
MRT,Jun 2020,1
MUS,Jan 1999,1
MWI,Feb 1990,1
MWI,Apr 1992,1
MWI,Feb 2002,1
MWI,Oct 2005,1
MWI,Oct 2007,1
MWI,Aug 2012,1
MWI,Oct 2015,1
MYS,Mar 1998,1
MYS,Mar 2014,1
NAM,Apr 1982,1
NAM,Dec 1998,1
NAM,Jan 2001,1
NAM,Jul 2002,1
NAM,Jan 2013,1
NAM,Jan 2015,1
NAM,Oct 2018,1
NER,Jan 1966,1
NER,Jun 1980,1
NER,Apr 1997,1
NER,Apr 2001,1
NER,Jul 2005,1
NER,Sep 2009,1
NER,Apr 2015,1
NER,May 2017,1
NGA,Jun 1983,1
NIC,Jul 1994,1
NIC,Sep 1997,1
NIC,Jul 2000,1
NIC,Aug 2001,1
