iso,date,Extreme temperature
FRA,Apr 2021,1
FRA,May 2022,1
GBR,Feb 1991,1
GBR,Dec 1997,1
GBR,Jul 2003,1
GBR,Nov 2005,1
GBR,Dec 2005,1
GBR,Dec 2009,1
GBR,Nov 2010,1
GBR,Jul 2013,1
GBR,Jun 2018,1
GBR,Jun 2019,1
GBR,Jul 2019,1
GBR,Jun 2020,1
GBR,May 2022,1
GRC,Aug 1985,1
GRC,Jul 1987,1
GRC,Jul 1988,1
GRC,Feb 1991,1
GRC,Jul 2000,1
GRC,Jun 2007,1
GRC,Feb 2012,1
GRC,Jan 2017,1
GRC,May 2022,1
GTM,Nov 2001,1
GTM,Nov 2006,1
GTM,Dec 2011,1
GTM,Nov 2014,1
HKG,Nov 1987,1
HRV,Jun 2000,1
HRV,Jul 2003,1
HRV,Dec 2005,1
HRV,Dec 2010,1
HRV,Feb 2012,1
HRV,Dec 2012,1
HRV,May 2022,1
HUN,Dec 2001,1
HUN,Dec 2005,1
HUN,Jul 2007,1
HUN,Jan 2008,1
HUN,Feb 2012,1
HUN,Dec 2018,1
HUN,May 2022,1
IND,Jun 1953,1
IND,May 1958,1
IND,Dec 1961,1
IND,Jun 1965,1
IND,Jan 1973,1
IND,Dec 1973,1
IND,May 1978,1
IND,May 1979,1
IND,Jul 1979,1
IND,Jan 1980,1
IND,Apr 1980,1
IND,Jan 1981,1
IND,Dec 1982,1
IND,Dec 1984,1
IND,Jun 1985,1
IND,Dec 1985,1
IND,Jun 1987,1
IND,May 1988,1
IND,Jan 1989,1
IND,Dec 1989,1
IND,Jan 1990,1
IND,Dec 1990,1
IND,Jan 1992,1
IND,May 1994,1
IND,May 1995,1
IND,May 1998,1
IND,Dec 1998,1
IND,Apr 1999,1
IND,Jan 2000,1
IND,Jan 2001,1
IND,Dec 2001,1
IND,May 2002,1
IND,Dec 2002,1
IND,May 2003,1
IND,Dec 2003,1
IND,Jun 2005,1
IND,Dec 2005,1
IND,May 2006,1
IND,Mar 2007,1
IND,Apr 2007,1
IND,Dec 2007,1
IND,Dec 2008,1
IND,Apr 2009,1
IND,Jan 2010,1
IND,Mar 2010,1
IND,Jan 2011,1
IND,Dec 2011,1
IND,Jan 2012,1
IND,Dec 2012,1
IND,Apr 2013,1
IND,Jan 2014,1
IND,Dec 2014,1
IND,May 2015,1
IND,Apr 2016,1
IND,Apr 2017,1
IND,Jan 2018,1
IND,Jun 2019,1
IND,Mar 2022,1
IND,Apr 2023,1
IND,Jun 2023,1
IRL,May 2022,1
IRN,Jul 1953,1
ISR,Feb 1992,1
ISR,Jul 2000,1
ITA,Jul 1998,1
ITA,Jul 2003,1
ITA,Dec 2005,1
ITA,Jun 2007,1
ITA,Dec 2009,1
ITA,Dec 2010,1
ITA,Aug 2011,1
ITA,Feb 2012,1
ITA,Feb 2018,1
ITA,Aug 2018,1
ITA,Jun 2019,1
ITA,May 2022,1
JOR,Jan 1992,1
JOR,Jul 2000,1
JPN,Jul 2004,1
JPN,Aug 2007,1
JPN,Jul 2008,1
JPN,Jul 2009,1
JPN,Jul 2010,1
JPN,Jul 2011,1
JPN,May 2013,1
JPN,Jul 2014,1
JPN,May 2015,1
JPN,Jul 2015,1
JPN,Aug 2015,1
JPN,Jan 2016,1
JPN,Aug 2016,1
JPN,Jul 2018,1
JPN,Jul 2019,1
JPN,Jun 2022,1
KAZ,Nov 1997,1
KAZ,Jan 2001,1
KAZ,Dec 2012,1
KGZ,Oct 2000,1
KGZ,Dec 2012,1
KGZ,Jul 2022,1
KOR,Jul 1990,1
KOR,Jan 2016,1
KOR,Jul 2018,1
KOR,Jul 2022,1
LBN,Jan 2023,1
LTU,Jun 1999,1
LTU,Dec 2001,1
LTU,Nov 2010,1
LTU,Jan 2012,1
LTU,Dec 2012,1
LTU,Feb 2018,1
LTU,May 2022,1
LUX,Jul 2003,1
LUX,May 2022,1
LVA,Oct 2001,1
LVA,Jan 2003,1
LVA,Jan 2006,1
LVA,Feb 2012,1
LVA,May 2022,1
MAR,Aug 2000,1
MAR,Feb 2012,1
MAR,Feb 2016,1
MAR,Jan 2017,1
MAR,Feb 2017,1
MAR,Jan 2018,1
MDA,Jan 2006,1
MDA,Jan 2012,1
MDA,Jan 2019,1
MEX,May 1962,1
MEX,Jul 1968,1
MEX,Jan 1988,1
MEX,Apr 1990,1
MEX,Jan 1992,1
MEX,Dec 1992,1
MEX,Dec 1995,1
MEX,Jan 1997,1
MEX,Dec 1997,1
MEX,Dec 1998,1
MEX,Jan 1999,1
MEX,Oct 2000,1
MEX,Dec 2002,1
MEX,Dec 2003,1
MEX,Nov 2004,1
MEX,Nov 2006,1
MEX,Feb 2011,1
MKD,Dec 2001,1
MKD,Jul 2004,1
MKD,Jul 2007,1
MKD,Jan 2012,1
MKD,Dec 2014,1
MKD,Jan 2017,1
MLT,May 2022,1
MNE,Feb 2012,1
MNE,May 2022,1
MNG,Dec 2009,1
MNG,Nov 2015,1
MNG,Dec 2016,1
MNG,Jan 2018,1
MNG,Jan 2019,1
MNG,Nov 2022,1
MNG,May 2023,1
NGA,Jan 1992,1
NGA,Jun 2002,1
NLD,Jul 2003,1
NLD,Nov 2005,1
NLD,Dec 2005,1
NLD,Jul 2006,1
NLD,Feb 2012,1
NLD,Jul 2018,1
NLD,Jul 2019,1
NLD,Aug 2020,1
NLD,May 2022,1
NOR,May 2022,1
NPL,Dec 2002,1
NPL,Dec 2003,1
NPL,Dec 2009,1
NPL,Jan 2011,1
NPL,Dec 2011,1
NPL,Jan 2013,1
NPL,Jan 2018,1
NZL,Jan 2001,1
PAK,Jul 1953,1
PAK,Jun 1975,1
PAK,Jul 1979,1
PAK,Dec 1990,1
PAK,Jun 1991,1
PAK,Jun 1996,1
PAK,Jun 1997,1
PAK,Apr 1999,1
PAK,Jun 2000,1
PAK,Jan 2001,1
PAK,May 2002,1
PAK,Dec 2002,1
PAK,May 2003,1
PAK,Jun 2005,1
PAK,May 2006,1
PAK,Jan 2014,1
PAK,Jun 2015,1
PAK,May 2018,1
PAK,Mar 2022,1
PER,Jan 1983,1
PER,Jun 1991,1
PER,Jul 2003,1
PER,Jun 2004,1
PER,Apr 2007,1
PER,May 2009,1
PER,Jul 2010,1
PER,May 2011,1
PER,Jun 2012,1
PER,Aug 2013,1
PER,Apr 2014,1
PER,May 2015,1
POL,Jan 1997,1
POL,Nov 1998,1
POL,Oct 1999,1
POL,Dec 2000,1
POL,Oct 2001,1
POL,Oct 2002,1
POL,Oct 2005,1
POL,Nov 2008,1
POL,Nov 2009,1
POL,Nov 2010,1
POL,Nov 2011,1
POL,Jan 2012,1
POL,Oct 2012,1
POL,Dec 2012,1
POL,Mar 2013,1
POL,Jan 2014,1
POL,Jan 2015,1
POL,Jan 2016,1
POL,Feb 2018,1
POL,May 2022,1
PRK,Jul 2018,1
PRT,Jul 2003,1
PRT,Jun 2005,1
PRT,Jul 2006,1
PRT,Jan 2009,1
PRT,Dec 2010,1
PRT,Aug 2018,1
PRT,May 2022,1
PRY,Jul 2000,1
PRY,Jul 2004,1
PRY,Jul 2010,1
PSE,Jan 2020,1
PSE,Jan 2022,1
ROU,May 1994,1
ROU,Jul 1996,1
ROU,Aug 1998,1
ROU,Nov 1998,1
ROU,Jul 2000,1
ROU,Dec 2001,1
ROU,Dec 2002,1
ROU,Jul 2004,1
ROU,Jul 2005,1
ROU,Jan 2006,1
ROU,Jun 2006,1
ROU,Jun 2007,1
ROU,Dec 2007,1
ROU,Jan 2009,1
ROU,Dec 2009,1
ROU,Jan 2010,1
ROU,Jan 2012,1
ROU,Jan 2014,1
ROU,Feb 2018,1
ROU,May 2022,1
RUS,Nov 1993,1
RUS,Dec 1994,1
RUS,Jun 1995,1
RUS,Nov 1995,1
RUS,Dec 1997,1
RUS,Nov 1998,1
RUS,Jan 1999,1
RUS,Dec 1999,1
RUS,Feb 2000,1
RUS,May 2000,1
RUS,Oct 2000,1
RUS,Jan 2001,1
RUS,Jul 2001,1
RUS,Oct 2001,1
RUS,Oct 2002,1
RUS,Jan 2006,1
RUS,Jan 2010,1
RUS,Jun 2010,1
RUS,Dec 2010,1
RUS,Jan 2012,1
RUS,Dec 2012,1
SCG,Jul 2000,1
SCG,Jan 2006,1
SDN,Aug 2015,1
SLV,Nov 2006,1
SPI,Jul 2004,1
SRB,Jul 2007,1
SRB,Jan 2009,1
SRB,Jan 2010,1
SRB,Dec 2010,1
SRB,Jan 2012,1
SRB,Dec 2012,1
SRB,Jan 2014,1
SRB,Jan 2017,1
SRB,May 2022,1
SVK,Jul 2003,1
SVK,Dec 2005,1
SVK,Jul 2007,1
SVK,Nov 2010,1
SVK,Jan 2012,1
SVK,May 2022,1
SVN,Jul 2003,1
SVN,Jan 2014,1
SVN,May 2022,1
SWE,Dec 2005,1
SWE,May 2022,1
THA,Jan 2014,1
THA,Jan 2016,1
TJK,Jan 2008,1
TJK,Feb 2012,1
TJK,Jan 2013,1
TUR,Mar 1987,1
TUR,Feb 1994,1
TUR,Jun 2000,1
TUR,Dec 2001,1
TUR,Jan 2004,1
TUR,Dec 2005,1
TUR,Jun 2007,1
TWN,Jan 2016,1
UKR,May 2000,1
UKR,Jan 2006,1
UKR,Jan 2009,1
UKR,Dec 2009,1
UKR,Jan 2012,1
UKR,Dec 2012,1
UKR,Jan 2016,1
UKR,Jan 2017,1
URY,Jul 2000,1
URY,Jul 2004,1
URY,Jul 2007,1
URY,Jul 2010,1
USA,Jul 1936,1
USA,Jan 1951,1
USA,Aug 1951,1
USA,Aug 1955,1
USA,Jan 1963,1
USA,Jul 1966,1
USA,Jul 1972,1
USA,Aug 1973,1
USA,Jun 1980,1
USA,Jul 1983,1
USA,Jul 1986,1
USA,Jul 1987,1
USA,Dec 1989,1
USA,Jun 1990,1
USA,Dec 1990,1
USA,Jun 1993,1
USA,Jul 1995,1
USA,Dec 1995,1
USA,May 1998,1
USA,Jul 1999,1
USA,Jul 2000,1
USA,Aug 2001,1
USA,Jun 2002,1
USA,Jan 2004,1
USA,Jul 2005,1
USA,Jul 2006,1
USA,Dec 2008,1
USA,Jan 2009,1
USA,Jul 2011,1
USA,Jun 2012,1
USA,Dec 2013,1
USA,Jan 2014,1
USA,Jun 2021,1
USA,Jan 2023,1
USA,Jun 2023,1
YUG,Jul 1988,1
ZAF,Jul 1996,1
ZAF,May 2007,1
ZAF,Jan 2016,1
